Logging in: /home/yf22/Transferred-Tickets-Wins/omp/runs/img-c100-resnet50-eps3-uns-p0.9-finetune
==> Preparing dataset cifar100..
Files already downloaded and verified
Files already downloaded and verified
=> loading checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt'
=> loaded checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt' (epoch 90)
[Replacing the last layer with 0 hidden layers and 1 classification layer that fits the cifar100 dataset.]
no weight for calculating sparsity
L1 Unstructured Pruning Start
L1 Unstructured Pruning Done!
* remain weight ratio =  9.999999147300143 %
remove pruning
=> loading checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt'
=> loaded checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt' (epoch 90)
[Replacing the last layer with 0 hidden layers and 1 classification layer that fits the cifar100 dataset.]
Dataset: cifar100 | Model: resnet50
Use SGD as the optimizer
/home/yf22/Transferred-Tickets-Wins/omp/my_robustness/train.py:25: UserWarning: Could not import amp.
  warnings.warn('Could not import amp.')

  0%|          | 0/782 [00:00<?, ?it/s]
Train Epoch:0 | Loss 4.6102 | NatPrec1 0.000 | NatPrec5 3.125 | Reg term: 0.0 ||:   0%|          | 0/782 [00:11<?, ?it/s]
Train Epoch:0 | Loss 4.6102 | NatPrec1 0.000 | NatPrec5 3.125 | Reg term: 0.0 ||:   0%|          | 0/782 [00:11<?, ?it/s]
Train Epoch:0 | Loss 4.6102 | NatPrec1 0.000 | NatPrec5 3.125 | Reg term: 0.0 ||:   0%|          | 1/782 [00:11<2:26:06, 11.22s/it]
Train Epoch:0 | Loss 4.6566 | NatPrec1 0.000 | NatPrec5 3.906 | Reg term: 0.0 ||:   0%|          | 1/782 [00:11<2:26:06, 11.22s/it]
Train Epoch:0 | Loss 4.6566 | NatPrec1 0.000 | NatPrec5 3.906 | Reg term: 0.0 ||:   0%|          | 1/782 [00:11<2:26:06, 11.22s/it]
Train Epoch:0 | Loss 4.6566 | NatPrec1 0.000 | NatPrec5 3.906 | Reg term: 0.0 ||:   0%|          | 2/782 [00:11<1:02:02,  4.77s/it]
Train Epoch:0 | Loss 4.6592 | NatPrec1 0.521 | NatPrec5 5.208 | Reg term: 0.0 ||:   0%|          | 2/782 [00:11<1:02:02,  4.77s/it]
Train Epoch:0 | Loss 4.6592 | NatPrec1 0.521 | NatPrec5 5.208 | Reg term: 0.0 ||:   0%|          | 2/782 [00:11<1:02:02,  4.77s/it]
Train Epoch:0 | Loss 4.6592 | NatPrec1 0.521 | NatPrec5 5.208 | Reg term: 0.0 ||:   0%|          | 3/782 [00:11<35:11,  2.71s/it]  
Train Epoch:0 | Loss 4.6429 | NatPrec1 0.391 | NatPrec5 5.078 | Reg term: 0.0 ||:   0%|          | 3/782 [00:11<35:11,  2.71s/it]
Train Epoch:0 | Loss 4.6429 | NatPrec1 0.391 | NatPrec5 5.078 | Reg term: 0.0 ||:   0%|          | 3/782 [00:11<35:11,  2.71s/it]
Train Epoch:0 | Loss 4.6429 | NatPrec1 0.391 | NatPrec5 5.078 | Reg term: 0.0 ||:   1%|          | 4/782 [00:11<22:33,  1.74s/it]
Train Epoch:0 | Loss 4.6392 | NatPrec1 0.625 | NatPrec5 5.312 | Reg term: 0.0 ||:   1%|          | 4/782 [00:12<22:33,  1.74s/it]
Train Epoch:0 | Loss 4.6392 | NatPrec1 0.625 | NatPrec5 5.312 | Reg term: 0.0 ||:   1%|          | 4/782 [00:12<22:33,  1.74s/it]
Train Epoch:0 | Loss 4.6392 | NatPrec1 0.625 | NatPrec5 5.312 | Reg term: 0.0 ||:   1%|          | 5/782 [00:12<15:36,  1.21s/it]
Train Epoch:0 | Loss 4.6457 | NatPrec1 1.302 | NatPrec5 5.990 | Reg term: 0.0 ||:   1%|          | 5/782 [00:12<15:36,  1.21s/it]
Train Epoch:0 | Loss 4.6457 | NatPrec1 1.302 | NatPrec5 5.990 | Reg term: 0.0 ||:   1%|          | 5/782 [00:12<15:36,  1.21s/it]
Train Epoch:0 | Loss 4.6457 | NatPrec1 1.302 | NatPrec5 5.990 | Reg term: 0.0 ||:   1%|          | 6/782 [00:12<11:23,  1.14it/s]
Train Epoch:0 | Loss 4.6447 | NatPrec1 1.339 | NatPrec5 6.027 | Reg term: 0.0 ||:   1%|          | 6/782 [00:12<11:23,  1.14it/s]
Train Epoch:0 | Loss 4.6447 | NatPrec1 1.339 | NatPrec5 6.027 | Reg term: 0.0 ||:   1%|          | 6/782 [00:12<11:23,  1.14it/s]
Train Epoch:0 | Loss 4.6447 | NatPrec1 1.339 | NatPrec5 6.027 | Reg term: 0.0 ||:   1%|          | 7/782 [00:12<08:42,  1.48it/s]
Train Epoch:0 | Loss 4.6414 | NatPrec1 1.758 | NatPrec5 6.250 | Reg term: 0.0 ||:   1%|          | 7/782 [00:12<08:42,  1.48it/s]
Train Epoch:0 | Loss 4.6414 | NatPrec1 1.758 | NatPrec5 6.250 | Reg term: 0.0 ||:   1%|          | 7/782 [00:12<08:42,  1.48it/s]
Train Epoch:0 | Loss 4.6414 | NatPrec1 1.758 | NatPrec5 6.250 | Reg term: 0.0 ||:   1%|          | 8/782 [00:12<06:57,  1.85it/s]
Train Epoch:0 | Loss 4.6448 | NatPrec1 1.562 | NatPrec5 6.597 | Reg term: 0.0 ||:   1%|          | 8/782 [00:13<06:57,  1.85it/s]
Train Epoch:0 | Loss 4.6448 | NatPrec1 1.562 | NatPrec5 6.597 | Reg term: 0.0 ||:   1%|          | 8/782 [00:13<06:57,  1.85it/s]
Train Epoch:0 | Loss 4.6448 | NatPrec1 1.562 | NatPrec5 6.597 | Reg term: 0.0 ||:   1%|          | 9/782 [00:13<05:47,  2.22it/s]
Train Epoch:0 | Loss 4.6383 | NatPrec1 1.562 | NatPrec5 6.406 | Reg term: 0.0 ||:   1%|          | 9/782 [00:13<05:47,  2.22it/s]
Train Epoch:0 | Loss 4.6383 | NatPrec1 1.562 | NatPrec5 6.406 | Reg term: 0.0 ||:   1%|          | 9/782 [00:13<05:47,  2.22it/s]
Train Epoch:0 | Loss 4.6383 | NatPrec1 1.562 | NatPrec5 6.406 | Reg term: 0.0 ||:   1%|▏         | 10/782 [00:13<04:59,  2.57it/s]
Train Epoch:0 | Loss 4.6399 | NatPrec1 1.562 | NatPrec5 6.534 | Reg term: 0.0 ||:   1%|▏         | 10/782 [00:13<04:59,  2.57it/s]
Train Epoch:0 | Loss 4.6399 | NatPrec1 1.562 | NatPrec5 6.534 | Reg term: 0.0 ||:   1%|▏         | 10/782 [00:13<04:59,  2.57it/s]
Train Epoch:0 | Loss 4.6399 | NatPrec1 1.562 | NatPrec5 6.534 | Reg term: 0.0 ||:   1%|▏         | 11/782 [00:13<04:26,  2.89it/s]
Train Epoch:0 | Loss 4.6412 | NatPrec1 1.562 | NatPrec5 6.641 | Reg term: 0.0 ||:   1%|▏         | 11/782 [00:14<04:26,  2.89it/s]
Train Epoch:0 | Loss 4.6412 | NatPrec1 1.562 | NatPrec5 6.641 | Reg term: 0.0 ||:   1%|▏         | 11/782 [00:14<04:26,  2.89it/s]
Train Epoch:0 | Loss 4.6412 | NatPrec1 1.562 | NatPrec5 6.641 | Reg term: 0.0 ||:   2%|▏         | 12/782 [00:14<04:03,  3.16it/s]
Train Epoch:0 | Loss 4.6417 | NatPrec1 1.683 | NatPrec5 6.731 | Reg term: 0.0 ||:   2%|▏         | 12/782 [00:14<04:03,  3.16it/s]
Train Epoch:0 | Loss 4.6417 | NatPrec1 1.683 | NatPrec5 6.731 | Reg term: 0.0 ||:   2%|▏         | 12/782 [00:14<04:03,  3.16it/s]
Train Epoch:0 | Loss 4.6417 | NatPrec1 1.683 | NatPrec5 6.731 | Reg term: 0.0 ||:   2%|▏         | 13/782 [00:14<03:47,  3.38it/s]
Train Epoch:0 | Loss 4.6441 | NatPrec1 1.563 | NatPrec5 6.473 | Reg term: 0.0 ||:   2%|▏         | 13/782 [00:14<03:47,  3.38it/s]
Train Epoch:0 | Loss 4.6441 | NatPrec1 1.563 | NatPrec5 6.473 | Reg term: 0.0 ||:   2%|▏         | 13/782 [00:14<03:47,  3.38it/s]
Train Epoch:0 | Loss 4.6441 | NatPrec1 1.563 | NatPrec5 6.473 | Reg term: 0.0 ||:   2%|▏         | 14/782 [00:14<03:36,  3.54it/s]
Train Epoch:0 | Loss 4.6480 | NatPrec1 1.458 | NatPrec5 6.146 | Reg term: 0.0 ||:   2%|▏         | 14/782 [00:14<03:36,  3.54it/s]
Train Epoch:0 | Loss 4.6480 | NatPrec1 1.458 | NatPrec5 6.146 | Reg term: 0.0 ||:   2%|▏         | 14/782 [00:14<03:36,  3.54it/s]
Train Epoch:0 | Loss 4.6480 | NatPrec1 1.458 | NatPrec5 6.146 | Reg term: 0.0 ||:   2%|▏         | 15/782 [00:14<03:29,  3.67it/s]
Train Epoch:0 | Loss 4.6482 | NatPrec1 1.367 | NatPrec5 6.055 | Reg term: 0.0 ||:   2%|▏         | 15/782 [00:15<03:29,  3.67it/s]
Train Epoch:0 | Loss 4.6482 | NatPrec1 1.367 | NatPrec5 6.055 | Reg term: 0.0 ||:   2%|▏         | 15/782 [00:15<03:29,  3.67it/s]
Train Epoch:0 | Loss 4.6482 | NatPrec1 1.367 | NatPrec5 6.055 | Reg term: 0.0 ||:   2%|▏         | 16/782 [00:15<03:24,  3.75it/s]
Train Epoch:0 | Loss 4.6437 | NatPrec1 1.379 | NatPrec5 6.342 | Reg term: 0.0 ||:   2%|▏         | 16/782 [00:15<03:24,  3.75it/s]
Train Epoch:0 | Loss 4.6437 | NatPrec1 1.379 | NatPrec5 6.342 | Reg term: 0.0 ||:   2%|▏         | 16/782 [00:15<03:24,  3.75it/s]
Train Epoch:0 | Loss 4.6437 | NatPrec1 1.379 | NatPrec5 6.342 | Reg term: 0.0 ||:   2%|▏         | 17/782 [00:15<03:20,  3.82it/s]
Train Epoch:0 | Loss 4.6385 | NatPrec1 1.389 | NatPrec5 6.337 | Reg term: 0.0 ||:   2%|▏         | 17/782 [00:15<03:20,  3.82it/s]
Train Epoch:0 | Loss 4.6385 | NatPrec1 1.389 | NatPrec5 6.337 | Reg term: 0.0 ||:   2%|▏         | 17/782 [00:15<03:20,  3.82it/s]
Train Epoch:0 | Loss 4.6385 | NatPrec1 1.389 | NatPrec5 6.337 | Reg term: 0.0 ||:   2%|▏         | 18/782 [00:15<03:16,  3.88it/s]
Train Epoch:0 | Loss 4.6367 | NatPrec1 1.398 | NatPrec5 6.168 | Reg term: 0.0 ||:   2%|▏         | 18/782 [00:15<03:16,  3.88it/s]
Train Epoch:0 | Loss 4.6367 | NatPrec1 1.398 | NatPrec5 6.168 | Reg term: 0.0 ||:   2%|▏         | 18/782 [00:15<03:16,  3.88it/s]
Train Epoch:0 | Loss 4.6367 | NatPrec1 1.398 | NatPrec5 6.168 | Reg term: 0.0 ||:   2%|▏         | 19/782 [00:15<03:14,  3.92it/s]
Train Epoch:0 | Loss 4.6334 | NatPrec1 1.484 | NatPrec5 6.016 | Reg term: 0.0 ||:   2%|▏         | 19/782 [00:16<03:14,  3.92it/s]
Train Epoch:0 | Loss 4.6334 | NatPrec1 1.484 | NatPrec5 6.016 | Reg term: 0.0 ||:   2%|▏         | 19/782 [00:16<03:14,  3.92it/s]
Train Epoch:0 | Loss 4.6334 | NatPrec1 1.484 | NatPrec5 6.016 | Reg term: 0.0 ||:   3%|▎         | 20/782 [00:16<03:13,  3.95it/s]
Train Epoch:0 | Loss 4.6350 | NatPrec1 1.488 | NatPrec5 5.952 | Reg term: 0.0 ||:   3%|▎         | 20/782 [00:16<03:13,  3.95it/s]
Train Epoch:0 | Loss 4.6350 | NatPrec1 1.488 | NatPrec5 5.952 | Reg term: 0.0 ||:   3%|▎         | 20/782 [00:16<03:13,  3.95it/s]
Train Epoch:0 | Loss 4.6350 | NatPrec1 1.488 | NatPrec5 5.952 | Reg term: 0.0 ||:   3%|▎         | 21/782 [00:16<03:12,  3.95it/s]
Train Epoch:0 | Loss 4.6363 | NatPrec1 1.420 | NatPrec5 5.895 | Reg term: 0.0 ||:   3%|▎         | 21/782 [00:16<03:12,  3.95it/s]
Train Epoch:0 | Loss 4.6363 | NatPrec1 1.420 | NatPrec5 5.895 | Reg term: 0.0 ||:   3%|▎         | 21/782 [00:16<03:12,  3.95it/s]
Train Epoch:0 | Loss 4.6363 | NatPrec1 1.420 | NatPrec5 5.895 | Reg term: 0.0 ||:   3%|▎         | 22/782 [00:16<03:11,  3.96it/s]
Train Epoch:0 | Loss 4.6352 | NatPrec1 1.427 | NatPrec5 5.910 | Reg term: 0.0 ||:   3%|▎         | 22/782 [00:16<03:11,  3.96it/s]
Train Epoch:0 | Loss 4.6352 | NatPrec1 1.427 | NatPrec5 5.910 | Reg term: 0.0 ||:   3%|▎         | 22/782 [00:16<03:11,  3.96it/s]
Train Epoch:0 | Loss 4.6352 | NatPrec1 1.427 | NatPrec5 5.910 | Reg term: 0.0 ||:   3%|▎         | 23/782 [00:16<03:11,  3.96it/s]
Train Epoch:0 | Loss 4.6338 | NatPrec1 1.497 | NatPrec5 6.055 | Reg term: 0.0 ||:   3%|▎         | 23/782 [00:17<03:11,  3.96it/s]
Train Epoch:0 | Loss 4.6338 | NatPrec1 1.497 | NatPrec5 6.055 | Reg term: 0.0 ||:   3%|▎         | 23/782 [00:17<03:11,  3.96it/s]
Train Epoch:0 | Loss 4.6338 | NatPrec1 1.497 | NatPrec5 6.055 | Reg term: 0.0 ||:   3%|▎         | 24/782 [00:17<03:10,  3.97it/s]
Train Epoch:0 | Loss 4.6330 | NatPrec1 1.562 | NatPrec5 6.188 | Reg term: 0.0 ||:   3%|▎         | 24/782 [00:17<03:10,  3.97it/s]
Train Epoch:0 | Loss 4.6330 | NatPrec1 1.562 | NatPrec5 6.188 | Reg term: 0.0 ||:   3%|▎         | 24/782 [00:17<03:10,  3.97it/s]
Train Epoch:0 | Loss 4.6330 | NatPrec1 1.562 | NatPrec5 6.188 | Reg term: 0.0 ||:   3%|▎         | 25/782 [00:17<03:10,  3.98it/s]
Train Epoch:0 | Loss 4.6323 | NatPrec1 1.623 | NatPrec5 6.250 | Reg term: 0.0 ||:   3%|▎         | 25/782 [00:17<03:10,  3.98it/s]
Train Epoch:0 | Loss 4.6323 | NatPrec1 1.623 | NatPrec5 6.250 | Reg term: 0.0 ||:   3%|▎         | 25/782 [00:17<03:10,  3.98it/s]
Train Epoch:0 | Loss 4.6323 | NatPrec1 1.623 | NatPrec5 6.250 | Reg term: 0.0 ||:   3%|▎         | 26/782 [00:17<03:09,  3.98it/s]
Train Epoch:0 | Loss 4.6279 | NatPrec1 1.562 | NatPrec5 6.597 | Reg term: 0.0 ||:   3%|▎         | 26/782 [00:17<03:09,  3.98it/s]
Train Epoch:0 | Loss 4.6279 | NatPrec1 1.562 | NatPrec5 6.597 | Reg term: 0.0 ||:   3%|▎         | 26/782 [00:17<03:09,  3.98it/s]
Train Epoch:0 | Loss 4.6279 | NatPrec1 1.562 | NatPrec5 6.597 | Reg term: 0.0 ||:   3%|▎         | 27/782 [00:17<03:09,  3.99it/s]
Train Epoch:0 | Loss 4.6260 | NatPrec1 1.563 | NatPrec5 6.529 | Reg term: 0.0 ||:   3%|▎         | 27/782 [00:18<03:09,  3.99it/s]
Train Epoch:0 | Loss 4.6260 | NatPrec1 1.563 | NatPrec5 6.529 | Reg term: 0.0 ||:   3%|▎         | 27/782 [00:18<03:09,  3.99it/s]
Train Epoch:0 | Loss 4.6260 | NatPrec1 1.563 | NatPrec5 6.529 | Reg term: 0.0 ||:   4%|▎         | 28/782 [00:18<03:09,  3.98it/s]
Train Epoch:0 | Loss 4.6238 | NatPrec1 1.562 | NatPrec5 6.573 | Reg term: 0.0 ||:   4%|▎         | 28/782 [00:18<03:09,  3.98it/s]
Train Epoch:0 | Loss 4.6238 | NatPrec1 1.562 | NatPrec5 6.573 | Reg term: 0.0 ||:   4%|▎         | 28/782 [00:18<03:09,  3.98it/s]
Train Epoch:0 | Loss 4.6238 | NatPrec1 1.562 | NatPrec5 6.573 | Reg term: 0.0 ||:   4%|▎         | 29/782 [00:18<03:09,  3.98it/s]
Train Epoch:0 | Loss 4.6238 | NatPrec1 1.510 | NatPrec5 6.510 | Reg term: 0.0 ||:   4%|▎         | 29/782 [00:18<03:09,  3.98it/s]
Train Epoch:0 | Loss 4.6238 | NatPrec1 1.510 | NatPrec5 6.510 | Reg term: 0.0 ||:   4%|▎         | 29/782 [00:18<03:09,  3.98it/s]
Train Epoch:0 | Loss 4.6238 | NatPrec1 1.510 | NatPrec5 6.510 | Reg term: 0.0 ||:   4%|▍         | 30/782 [00:18<03:08,  3.99it/s]
Train Epoch:0 | Loss 4.6219 | NatPrec1 1.462 | NatPrec5 6.401 | Reg term: 0.0 ||:   4%|▍         | 30/782 [00:18<03:08,  3.99it/s]
