Logging in: /home/yf22/Transferred-Tickets-Wins/omp/runs/img-c10-resnet50-eps3-uns-p0.9-finetune
==> Preparing dataset cifar..
Files already downloaded and verified
Files already downloaded and verified
=> loading checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt'
=> loaded checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt' (epoch 90)
[Replacing the last layer with 0 hidden layers and 1 classification layer that fits the cifar10 dataset.]
no weight for calculating sparsity
L1 Unstructured Pruning Start
L1 Unstructured Pruning Done!
* remain weight ratio =  9.999999147300143 %
remove pruning
=> loading checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt'
=> loaded checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt' (epoch 90)
[Replacing the last layer with 0 hidden layers and 1 classification layer that fits the cifar10 dataset.]
Dataset: cifar10 | Model: resnet50
Use SGD as the optimizer
/home/yf22/Transferred-Tickets-Wins/omp/my_robustness/train.py:25: UserWarning: Could not import amp.
  warnings.warn('Could not import amp.')

  0%|          | 0/782 [00:00<?, ?it/s]
Train Epoch:0 | Loss 2.3275 | NatPrec1 6.250 | NatPrec5 46.875 | Reg term: 0.0 ||:   0%|          | 0/782 [00:11<?, ?it/s]
Train Epoch:0 | Loss 2.3275 | NatPrec1 6.250 | NatPrec5 46.875 | Reg term: 0.0 ||:   0%|          | 0/782 [00:11<?, ?it/s]
Train Epoch:0 | Loss 2.3275 | NatPrec1 6.250 | NatPrec5 46.875 | Reg term: 0.0 ||:   0%|          | 1/782 [00:11<2:28:26, 11.40s/it]
Train Epoch:0 | Loss 2.3350 | NatPrec1 6.250 | NatPrec5 51.562 | Reg term: 0.0 ||:   0%|          | 1/782 [00:11<2:28:26, 11.40s/it]
Train Epoch:0 | Loss 2.3350 | NatPrec1 6.250 | NatPrec5 51.562 | Reg term: 0.0 ||:   0%|          | 1/782 [00:11<2:28:26, 11.40s/it]
Train Epoch:0 | Loss 2.3350 | NatPrec1 6.250 | NatPrec5 51.562 | Reg term: 0.0 ||:   0%|          | 2/782 [00:11<1:02:59,  4.85s/it]
Train Epoch:0 | Loss 2.3452 | NatPrec1 6.771 | NatPrec5 47.396 | Reg term: 0.0 ||:   0%|          | 2/782 [00:11<1:02:59,  4.85s/it]
Train Epoch:0 | Loss 2.3452 | NatPrec1 6.771 | NatPrec5 47.396 | Reg term: 0.0 ||:   0%|          | 2/782 [00:11<1:02:59,  4.85s/it]
Train Epoch:0 | Loss 2.3452 | NatPrec1 6.771 | NatPrec5 47.396 | Reg term: 0.0 ||:   0%|          | 3/782 [00:11<35:39,  2.75s/it]  
Train Epoch:0 | Loss 2.3344 | NatPrec1 7.422 | NatPrec5 47.656 | Reg term: 0.0 ||:   0%|          | 3/782 [00:12<35:39,  2.75s/it]
Train Epoch:0 | Loss 2.3344 | NatPrec1 7.422 | NatPrec5 47.656 | Reg term: 0.0 ||:   0%|          | 3/782 [00:12<35:39,  2.75s/it]
Train Epoch:0 | Loss 2.3344 | NatPrec1 7.422 | NatPrec5 47.656 | Reg term: 0.0 ||:   1%|          | 4/782 [00:12<22:49,  1.76s/it]
Train Epoch:0 | Loss 2.3306 | NatPrec1 8.125 | NatPrec5 48.438 | Reg term: 0.0 ||:   1%|          | 4/782 [00:12<22:49,  1.76s/it]
Train Epoch:0 | Loss 2.3306 | NatPrec1 8.125 | NatPrec5 48.438 | Reg term: 0.0 ||:   1%|          | 4/782 [00:12<22:49,  1.76s/it]
Train Epoch:0 | Loss 2.3306 | NatPrec1 8.125 | NatPrec5 48.438 | Reg term: 0.0 ||:   1%|          | 5/782 [00:12<15:44,  1.22s/it]
Train Epoch:0 | Loss 2.3333 | NatPrec1 8.073 | NatPrec5 46.875 | Reg term: 0.0 ||:   1%|          | 5/782 [00:12<15:44,  1.22s/it]
Train Epoch:0 | Loss 2.3333 | NatPrec1 8.073 | NatPrec5 46.875 | Reg term: 0.0 ||:   1%|          | 5/782 [00:12<15:44,  1.22s/it]
Train Epoch:0 | Loss 2.3333 | NatPrec1 8.073 | NatPrec5 46.875 | Reg term: 0.0 ||:   1%|          | 6/782 [00:12<11:30,  1.12it/s]
Train Epoch:0 | Loss 2.3281 | NatPrec1 8.482 | NatPrec5 47.991 | Reg term: 0.0 ||:   1%|          | 6/782 [00:12<11:30,  1.12it/s]
Train Epoch:0 | Loss 2.3281 | NatPrec1 8.482 | NatPrec5 47.991 | Reg term: 0.0 ||:   1%|          | 6/782 [00:12<11:30,  1.12it/s]
Train Epoch:0 | Loss 2.3281 | NatPrec1 8.482 | NatPrec5 47.991 | Reg term: 0.0 ||:   1%|          | 7/782 [00:12<08:46,  1.47it/s]
Train Epoch:0 | Loss 2.3214 | NatPrec1 8.594 | NatPrec5 49.609 | Reg term: 0.0 ||:   1%|          | 7/782 [00:13<08:46,  1.47it/s]
Train Epoch:0 | Loss 2.3214 | NatPrec1 8.594 | NatPrec5 49.609 | Reg term: 0.0 ||:   1%|          | 7/782 [00:13<08:46,  1.47it/s]
Train Epoch:0 | Loss 2.3214 | NatPrec1 8.594 | NatPrec5 49.609 | Reg term: 0.0 ||:   1%|          | 8/782 [00:13<07:00,  1.84it/s]
Train Epoch:0 | Loss 2.3166 | NatPrec1 8.681 | NatPrec5 50.521 | Reg term: 0.0 ||:   1%|          | 8/782 [00:13<07:00,  1.84it/s]
Train Epoch:0 | Loss 2.3166 | NatPrec1 8.681 | NatPrec5 50.521 | Reg term: 0.0 ||:   1%|          | 8/782 [00:13<07:00,  1.84it/s]
Train Epoch:0 | Loss 2.3166 | NatPrec1 8.681 | NatPrec5 50.521 | Reg term: 0.0 ||:   1%|          | 9/782 [00:13<05:48,  2.22it/s]
Train Epoch:0 | Loss 2.3144 | NatPrec1 8.906 | NatPrec5 51.094 | Reg term: 0.0 ||:   1%|          | 9/782 [00:13<05:48,  2.22it/s]
Train Epoch:0 | Loss 2.3144 | NatPrec1 8.906 | NatPrec5 51.094 | Reg term: 0.0 ||:   1%|          | 9/782 [00:13<05:48,  2.22it/s]
Train Epoch:0 | Loss 2.3144 | NatPrec1 8.906 | NatPrec5 51.094 | Reg term: 0.0 ||:   1%|▏         | 10/782 [00:13<04:59,  2.58it/s]
Train Epoch:0 | Loss 2.3102 | NatPrec1 9.233 | NatPrec5 51.136 | Reg term: 0.0 ||:   1%|▏         | 10/782 [00:13<04:59,  2.58it/s]
Train Epoch:0 | Loss 2.3102 | NatPrec1 9.233 | NatPrec5 51.136 | Reg term: 0.0 ||:   1%|▏         | 10/782 [00:13<04:59,  2.58it/s]
Train Epoch:0 | Loss 2.3102 | NatPrec1 9.233 | NatPrec5 51.136 | Reg term: 0.0 ||:   1%|▏         | 11/782 [00:13<04:26,  2.89it/s]
Train Epoch:0 | Loss 2.3058 | NatPrec1 9.115 | NatPrec5 51.693 | Reg term: 0.0 ||:   1%|▏         | 11/782 [00:14<04:26,  2.89it/s]
Train Epoch:0 | Loss 2.3058 | NatPrec1 9.115 | NatPrec5 51.693 | Reg term: 0.0 ||:   1%|▏         | 11/782 [00:14<04:26,  2.89it/s]
Train Epoch:0 | Loss 2.3058 | NatPrec1 9.115 | NatPrec5 51.693 | Reg term: 0.0 ||:   2%|▏         | 12/782 [00:14<04:03,  3.16it/s]
Train Epoch:0 | Loss 2.3001 | NatPrec1 9.255 | NatPrec5 52.043 | Reg term: 0.0 ||:   2%|▏         | 12/782 [00:14<04:03,  3.16it/s]
Train Epoch:0 | Loss 2.3001 | NatPrec1 9.255 | NatPrec5 52.043 | Reg term: 0.0 ||:   2%|▏         | 12/782 [00:14<04:03,  3.16it/s]
Train Epoch:0 | Loss 2.3001 | NatPrec1 9.255 | NatPrec5 52.043 | Reg term: 0.0 ||:   2%|▏         | 13/782 [00:14<03:47,  3.38it/s]
Train Epoch:0 | Loss 2.2991 | NatPrec1 9.487 | NatPrec5 52.344 | Reg term: 0.0 ||:   2%|▏         | 13/782 [00:14<03:47,  3.38it/s]
Train Epoch:0 | Loss 2.2991 | NatPrec1 9.487 | NatPrec5 52.344 | Reg term: 0.0 ||:   2%|▏         | 13/782 [00:14<03:47,  3.38it/s]
Train Epoch:0 | Loss 2.2991 | NatPrec1 9.487 | NatPrec5 52.344 | Reg term: 0.0 ||:   2%|▏         | 14/782 [00:14<03:37,  3.53it/s]
Train Epoch:0 | Loss 2.2972 | NatPrec1 9.792 | NatPrec5 52.813 | Reg term: 0.0 ||:   2%|▏         | 14/782 [00:14<03:37,  3.53it/s]
Train Epoch:0 | Loss 2.2972 | NatPrec1 9.792 | NatPrec5 52.813 | Reg term: 0.0 ||:   2%|▏         | 14/782 [00:14<03:37,  3.53it/s]
Train Epoch:0 | Loss 2.2972 | NatPrec1 9.792 | NatPrec5 52.813 | Reg term: 0.0 ||:   2%|▏         | 15/782 [00:14<03:28,  3.67it/s]
Train Epoch:0 | Loss 2.2968 | NatPrec1 10.254 | NatPrec5 52.832 | Reg term: 0.0 ||:   2%|▏         | 15/782 [00:15<03:28,  3.67it/s]
Train Epoch:0 | Loss 2.2968 | NatPrec1 10.254 | NatPrec5 52.832 | Reg term: 0.0 ||:   2%|▏         | 15/782 [00:15<03:28,  3.67it/s]
Train Epoch:0 | Loss 2.2968 | NatPrec1 10.254 | NatPrec5 52.832 | Reg term: 0.0 ||:   2%|▏         | 16/782 [00:15<03:24,  3.75it/s]
Train Epoch:0 | Loss 2.2952 | NatPrec1 10.570 | NatPrec5 52.757 | Reg term: 0.0 ||:   2%|▏         | 16/782 [00:15<03:24,  3.75it/s]
Train Epoch:0 | Loss 2.2952 | NatPrec1 10.570 | NatPrec5 52.757 | Reg term: 0.0 ||:   2%|▏         | 16/782 [00:15<03:24,  3.75it/s]
Train Epoch:0 | Loss 2.2952 | NatPrec1 10.570 | NatPrec5 52.757 | Reg term: 0.0 ||:   2%|▏         | 17/782 [00:15<03:20,  3.81it/s]
Train Epoch:0 | Loss 2.2980 | NatPrec1 10.590 | NatPrec5 52.431 | Reg term: 0.0 ||:   2%|▏         | 17/782 [00:15<03:20,  3.81it/s]
Train Epoch:0 | Loss 2.2980 | NatPrec1 10.590 | NatPrec5 52.431 | Reg term: 0.0 ||:   2%|▏         | 17/782 [00:15<03:20,  3.81it/s]
Train Epoch:0 | Loss 2.2980 | NatPrec1 10.590 | NatPrec5 52.431 | Reg term: 0.0 ||:   2%|▏         | 18/782 [00:15<03:17,  3.87it/s]
Train Epoch:0 | Loss 2.2989 | NatPrec1 10.526 | NatPrec5 52.385 | Reg term: 0.0 ||:   2%|▏         | 18/782 [00:15<03:17,  3.87it/s]
Train Epoch:0 | Loss 2.2989 | NatPrec1 10.526 | NatPrec5 52.385 | Reg term: 0.0 ||:   2%|▏         | 18/782 [00:15<03:17,  3.87it/s]
Train Epoch:0 | Loss 2.2989 | NatPrec1 10.526 | NatPrec5 52.385 | Reg term: 0.0 ||:   2%|▏         | 19/782 [00:15<03:15,  3.91it/s]
Train Epoch:0 | Loss 2.2962 | NatPrec1 10.781 | NatPrec5 52.578 | Reg term: 0.0 ||:   2%|▏         | 19/782 [00:16<03:15,  3.91it/s]
Train Epoch:0 | Loss 2.2962 | NatPrec1 10.781 | NatPrec5 52.578 | Reg term: 0.0 ||:   2%|▏         | 19/782 [00:16<03:15,  3.91it/s]
Train Epoch:0 | Loss 2.2962 | NatPrec1 10.781 | NatPrec5 52.578 | Reg term: 0.0 ||:   3%|▎         | 20/782 [00:16<03:13,  3.94it/s]
Train Epoch:0 | Loss 2.2911 | NatPrec1 11.682 | NatPrec5 53.646 | Reg term: 0.0 ||:   3%|▎         | 20/782 [00:16<03:13,  3.94it/s]
Train Epoch:0 | Loss 2.2911 | NatPrec1 11.682 | NatPrec5 53.646 | Reg term: 0.0 ||:   3%|▎         | 20/782 [00:16<03:13,  3.94it/s]
Train Epoch:0 | Loss 2.2911 | NatPrec1 11.682 | NatPrec5 53.646 | Reg term: 0.0 ||:   3%|▎         | 21/782 [00:16<03:11,  3.97it/s]
Train Epoch:0 | Loss 2.2873 | NatPrec1 12.500 | NatPrec5 54.190 | Reg term: 0.0 ||:   3%|▎         | 21/782 [00:16<03:11,  3.97it/s]
Train Epoch:0 | Loss 2.2873 | NatPrec1 12.500 | NatPrec5 54.190 | Reg term: 0.0 ||:   3%|▎         | 21/782 [00:16<03:11,  3.97it/s]
Train Epoch:0 | Loss 2.2873 | NatPrec1 12.500 | NatPrec5 54.190 | Reg term: 0.0 ||:   3%|▎         | 22/782 [00:16<03:10,  3.98it/s]
Train Epoch:0 | Loss 2.2878 | NatPrec1 12.160 | NatPrec5 54.620 | Reg term: 0.0 ||:   3%|▎         | 22/782 [00:16<03:10,  3.98it/s]
Train Epoch:0 | Loss 2.2878 | NatPrec1 12.160 | NatPrec5 54.620 | Reg term: 0.0 ||:   3%|▎         | 22/782 [00:16<03:10,  3.98it/s]
Train Epoch:0 | Loss 2.2878 | NatPrec1 12.160 | NatPrec5 54.620 | Reg term: 0.0 ||:   3%|▎         | 23/782 [00:16<03:09,  4.00it/s]
Train Epoch:0 | Loss 2.2861 | NatPrec1 12.500 | NatPrec5 55.078 | Reg term: 0.0 ||:   3%|▎         | 23/782 [00:17<03:09,  4.00it/s]
Train Epoch:0 | Loss 2.2861 | NatPrec1 12.500 | NatPrec5 55.078 | Reg term: 0.0 ||:   3%|▎         | 23/782 [00:17<03:09,  4.00it/s]
Train Epoch:0 | Loss 2.2861 | NatPrec1 12.500 | NatPrec5 55.078 | Reg term: 0.0 ||:   3%|▎         | 24/782 [00:17<03:10,  3.99it/s]
Train Epoch:0 | Loss 2.2830 | NatPrec1 12.812 | NatPrec5 55.375 | Reg term: 0.0 ||:   3%|▎         | 24/782 [00:17<03:10,  3.99it/s]
